time[s],v[m/s],w[rad/s],wp_x,wp_y,theta_wp[rad]
52.80,2.00,-1.57,-32.12,-6.00,-0.48
52.90,2.00,1.00,-32.00,-5.83,0.08
53.00,2.00,-1.45,-32.00,-5.45,0.02
53.10,2.00,1.00,-32.00,-5.11,0.20
53.20,2.00,-1.57,-31.83,-5.00,-0.29
53.30,2.00,1.00,-31.59,-5.00,-0.16
53.40,2.00,-1.57,-31.35,-5.00,-0.28
53.50,2.00,1.00,-31.12,-5.00,-0.15
53.60,2.00,1.00,-31.00,-4.81,0.16
53.70,2.00,1.00,-31.00,-4.45,0.10
53.80,2.00,1.00,-31.00,-4.11,0.04
53.90,2.00,-1.57,-30.84,-4.00,-0.46
54.00,2.00,1.00,-30.60,-4.00,-0.33
54.10,2.00,-1.57,-30.37,-4.00,-0.46
54.20,2.00,1.00,-30.14,-4.00,-0.33
54.30,2.00,1.00,-30.00,-3.86,-0.03
54.40,2.00,-0.32,-30.00,-3.50,-0.09
54.50,2.00,1.00,-30.00,-3.17,-0.03
54.60,0.00,-1.57,-29.88,-3.00,-0.52
54.70,1.00,1.00,-29.88,-3.00,-0.37
54.80,2.00,-1.57,-29.76,-3.00,-0.48
54.90,2.00,1.00,-29.54,-3.00,-0.35
55.00,2.00,-1.57,-29.31,-3.00,-0.48
55.10,2.00,1.00,-29.09,-3.00,-0.35
55.20,2.00,-1.57,-28.87,-3.00,-0.47
55.30,2.00,1.00,-28.66,-3.00,-0.34
55.40,2.00,-1.57,-28.45,-3.00,-0.46
55.50,2.00,1.00,-28.24,-3.00,-0.32
55.60,2.00,-1.57,-28.03,-3.00,-0.44
55.70,2.00,1.00,-27.83,-3.00,-0.30
55.80,2.00,-1.57,-27.63,-3.00,-0.42
55.90,2.00,1.00,-27.43,-3.00,-0.28
56.00,2.00,-1.57,-27.23,-3.00,-0.40
56.10,2.00,1.00,-27.04,-3.00,-0.26
56.20,2.00,-1.57,-26.83,-3.00,-0.37
56.30,2.00,1.00,-26.64,-3.00,-0.23
56.40,2.00,-1.57,-26.44,-3.00,-0.34
56.50,2.00,1.00,-26.25,-3.00,-0.20
56.60,2.00,-1.57,-26.05,-3.00,-0.31
56.70,2.00,1.00,-25.85,-3.00,-0.16
56.80,2.00,-1.57,-25.65,-3.00,-0.27
56.90,2.00,1.00,-25.46,-3.00,-0.13
57.00,2.00,-1.57,-25.26,-3.00,-0.23
57.10,2.00,1.00,-25.06,-3.00,-0.08
57.20,2.00,-1.57,-24.85,-3.15,-0.41
57.30,2.00,1.00,-24.65,-3.35,-0.29
57.40,2.00,-1.57,-24.45,-3.55,-0.42
57.50,2.00,1.00,-24.27,-3.73,-0.30
57.60,2.00,-1.57,-24.09,-3.91,-0.43
57.70,2.00,1.00,-23.90,-4.00,-0.09
57.80,2.00,-1.57,-23.70,-4.00,-0.19
57.90,2.00,1.00,-23.51,-4.00,-0.04
58.00,2.00,-1.57,-23.30,-4.00,-0.13
58.10,2.00,1.00,-23.11,-4.00,0.02
58.20,2.00,-1.57,-22.90,-4.00,-0.07
58.30,2.00,1.00,-22.70,-4.00,0.08
58.40,2.00,-1.57,-22.50,-4.00,-0.01
58.50,2.00,1.00,-22.30,-4.00,0.15
58.60,2.00,-1.57,-22.10,-4.00,0.06
58.70,2.00,1.00,-21.90,-4.00,0.22
58.80,2.00,-1.57,-21.70,-4.00,0.13
58.90,2.00,1.00,-21.50,-4.00,0.29
59.00,2.00,-1.07,-21.31,-4.00,0.20
59.10,2.00,1.00,-21.11,-4.00,0.32
59.20,2.00,-1.57,-20.92,-4.08,0.02
59.30,2.00,1.00,-20.74,-4.26,0.16
59.40,2.00,-1.57,-20.57,-4.43,0.04
59.50,2.00,1.00,-20.39,-4.61,0.18
59.60,2.00,-1.57,-20.23,-4.77,0.07
59.70,2.00,1.00,-20.06,-4.94,0.21
59.80,2.00,1.00,-19.88,-5.00,0.32
59.90,2.00,1.00,-19.68,-5.00,0.23
60.00,2.00,1.00,-19.48,-5.00,0.14
60.10,2.00,0.08,-19.28,-5.00,0.05
60.20,2.00,1.00,-19.08,-5.00,0.04
60.30,2.00,-1.57,-18.88,-5.00,-0.05
60.40,2.00,1.00,-18.68,-5.00,0.10
60.50,2.00,-1.57,-18.48,-5.00,0.01
60.60,2.00,1.00,-18.28,-5.00,0.17
60.70,2.00,-1.57,-18.08,-5.00,0.08
60.80,2.00,1.00,-17.88,-5.00,0.24
60.90,2.00,-1.39,-17.68,-5.00,0.15
61.00,2.00,1.00,-17.49,-5.00,0.29
61.10,2.00,-0.60,-17.29,-5.00,0.20
61.20,2.00,1.00,-17.10,-5.00,0.27
61.30,2.00,-0.02,-16.90,-5.00,0.18
61.40,2.00,1.00,-16.71,-5.00,0.18
61.50,2.00,-0.32,-16.51,-5.00,0.09
61.60,2.00,1.00,-16.31,-5.00,0.13
61.70,2.00,-1.24,-16.11,-5.00,0.03
61.80,2.00,1.00,-15.91,-5.00,0.15
61.90,2.00,-1.57,-15.72,-5.00,0.06
62.00,2.00,1.00,-15.52,-5.00,0.22
62.10,2.00,-1.46,-15.32,-5.00,0.12
62.20,2.00,1.00,-15.12,-5.00,0.27
62.30,2.00,-1.57,-14.93,-5.07,-0.03
62.40,2.00,1.00,-14.73,-5.27,0.11
62.50,2.00,-1.57,-14.54,-5.46,-0.01
62.60,2.00,1.00,-14.36,-5.64,0.12
62.70,2.00,-1.57,-14.18,-5.82,0.01
62.80,2.00,1.00,-14.00,-6.00,0.14
62.90,2.00,1.00,-13.81,-6.00,0.25
63.00,2.00,1.00,-13.61,-6.00,0.16
63.10,2.00,0.69,-13.42,-6.00,0.07
63.20,2.00,0.62,-13.22,-6.00,0.00
63.30,2.00,-0.17,-13.01,-6.00,-0.06
63.40,2.00,1.00,-12.81,-6.00,-0.04
63.50,2.00,-1.57,-12.61,-6.00,-0.14
63.60,2.00,1.00,-12.42,-6.00,0.02
63.70,2.00,-1.57,-12.22,-6.00,-0.08
63.80,2.00,1.00,-12.02,-6.00,0.07
63.90,2.00,-1.57,-11.82,-6.00,-0.02
64.00,2.00,1.00,-11.62,-6.00,0.14
64.10,2.00,-1.57,-11.42,-6.00,0.04
64.20,2.00,1.00,-11.22,-6.00,0.20
64.30,2.00,-1.46,-11.02,-6.00,0.11
64.40,2.00,1.00,-10.82,-6.00,0.26
64.50,2.00,-0.70,-10.63,-6.00,0.17
64.60,2.00,1.00,-10.43,-6.00,0.24
64.70,2.00,-0.08,-10.24,-6.00,0.15
64.80,2.00,1.00,-10.04,-6.00,0.16
64.90,2.00,-1.57,-9.84,-6.16,-0.15
65.00,2.00,1.00,-9.65,-6.35,-0.02
65.10,2.00,-1.57,-9.47,-6.53,-0.14
65.20,2.00,1.00,-9.29,-6.71,-0.01
65.30,2.00,-1.57,-9.11,-6.89,-0.13
65.40,2.00,1.00,-8.93,-7.00,0.22
65.50,2.00,-1.17,-8.73,-7.00,0.13
65.60,2.00,1.00,-8.53,-7.00,0.25
65.70,2.00,-0.38,-8.33,-7.00,0.16
65.80,2.00,1.00,-8.13,-7.00,0.21
65.90,2.00,-0.03,-7.93,-7.00,0.11
66.00,2.00,1.00,-7.73,-7.00,0.12
66.10,2.00,-0.56,-7.53,-7.00,0.03
66.20,2.00,1.00,-7.33,-7.00,0.09
66.30,2.00,-1.46,-7.13,-7.00,-0.01
66.40,2.00,1.00,-6.93,-7.00,0.14
66.50,2.00,-1.57,-6.73,-7.00,0.05
66.60,2.00,1.00,-6.53,-7.00,0.21
66.70,2.00,-1.16,-6.33,-7.00,0.11
66.80,2.00,1.00,-6.13,-7.00,0.24
66.90,2.00,-0.42,-5.94,-7.00,0.14
67.00,2.00,1.00,-5.74,-7.00,0.19
67.10,2.00,-0.14,-5.54,-7.00,0.10
67.20,2.00,1.00,-5.35,-7.00,0.11
67.30,2.00,-0.66,-5.15,-7.00,0.02
67.40,2.00,0.35,-4.95,-7.05,-0.12
67.50,2.00,-1.57,-4.76,-7.24,-0.18
67.60,2.00,1.00,-4.57,-7.43,-0.05
67.70,2.00,-1.57,-4.39,-7.61,-0.17
67.80,2.00,1.00,-4.21,-7.79,-0.04
67.90,2.00,-1.57,-4.04,-7.96,-0.15
68.00,2.00,1.00,-3.84,-8.00,0.20
68.10,2.00,-1.16,-3.64,-8.00,0.11
68.20,2.00,1.00,-3.44,-8.00,0.23
68.30,2.00,-0.37,-3.24,-8.00,0.14
68.40,2.00,1.00,-3.04,-8.00,0.19
68.50,2.00,-0.05,-2.84,-8.00,0.09
68.60,2.00,1.00,-2.64,-8.00,0.10
68.70,2.00,-0.60,-2.44,-8.00,0.01
68.80,2.00,1.00,-2.24,-8.00,0.07
68.90,2.00,-1.48,-2.04,-8.00,-0.02
69.00,2.00,1.00,-1.84,-8.00,0.13
69.10,2.00,-1.57,-1.64,-8.00,0.03
69.20,2.00,1.00,-1.44,-8.00,0.19
69.30,2.00,-1.14,-1.24,-8.00,0.10
69.40,2.00,1.00,-1.04,-8.00,0.22
69.50,0.00,1.00,-1.00,-6.46,0.75
69.60,0.00,1.00,-1.00,-6.46,0.65
69.70,0.00,1.00,-1.00,-6.46,0.55
69.80,1.00,1.00,-1.00,-6.46,0.45
69.90,2.00,1.00,-1.00,-6.12,0.40
70.00,2.00,1.00,-1.00,-5.58,0.38
70.10,2.00,1.00,-1.00,-5.15,0.35
70.20,2.00,1.00,-1.00,-4.77,0.30
70.30,2.00,1.00,-1.00,-4.42,0.24
70.40,2.00,1.00,-1.00,-4.10,0.18
70.50,2.00,1.00,-1.00,-3.79,0.12
70.60,2.00,1.00,-1.00,-3.50,0.04
70.70,2.00,0.64,-1.00,-3.23,-0.03
70.80,2.00,1.00,-1.00,-2.00,0.01
70.90,2.00,-0.66,-1.00,-2.00,-0.09
71.00,2.00,1.00,-1.00,-2.00,-0.03
71.10,2.00,-1.57,-1.00,-2.00,-0.14
71.20,2.00,1.00,-1.00,-2.00,0.01
71.30,2.00,-1.57,-1.00,-2.00,-0.10
71.40,2.00,1.00,-1.00,-2.00,0.05
71.50,2.00,-1.57,-1.00,-2.00,-0.05
71.60,2.00,1.00,-1.00,-2.00,0.10
71.70,2.00,-1.57,-1.00,-2.00,-0.01
71.80,2.00,1.00,-1.00,-2.00,0.14
71.90,2.00,-1.46,-1.00,-2.00,0.04
72.00,2.00,1.00,-1.00,-2.00,0.18
72.10,2.00,-0.89,-1.00,-2.00,0.08
72.20,2.00,1.00,-1.00,-2.00,0.17
72.30,2.00,-0.47,-1.00,-2.00,0.07
72.40,2.00,1.00,-1.00,-2.00,0.11
72.50,2.00,-0.72,-1.00,-2.00,0.00
72.60,2.00,1.00,-1.00,-2.00,0.06
72.70,2.00,-1.50,-1.00,-2.00,-0.04
72.80,2.00,1.00,-1.00,-2.00,0.09
72.90,2.00,-1.57,-1.00,-2.00,-0.02
73.00,2.00,1.00,-1.00,-2.00,0.11
73.10,2.00,-1.57,-1.00,-2.00,-0.00
73.20,2.00,1.00,-1.00,-2.00,0.13
73.30,2.00,-1.57,-1.00,-2.00,0.01
73.40,2.00,1.00,-1.00,-2.00,0.11
73.50,0.00,-1.57,-1.00,-2.00,-0.74
73.60,0.00,-1.57,-1.00,-2.00,-0.90
73.70,0.00,-1.57,-1.00,-2.00,-1.06
73.80,0.00,-1.57,-1.00,-2.00,-1.22
73.90,0.00,-1.57,-1.00,-2.00,-1.37
74.00,0.00,-1.57,-1.00,-2.00,-1.53
74.10,0.00,-1.57,-1.00,-2.00,-1.69
74.20,0.00,-1.57,-1.00,-2.00,-1.84
74.30,0.00,-1.57,-1.00,-2.00,-2.00
74.40,0.00,-1.57,-1.00,-2.00,-2.16
74.50,0.00,-1.57,-1.00,-2.00,-2.31
74.60,0.00,-1.57,-1.00,-2.00,-2.47
74.70,0.00,-1.57,-1.00,-2.00,-2.63
74.80,0.00,-1.57,-1.00,-2.00,-2.79
74.90,0.00,-1.57,-1.00,-2.00,-2.94
75.00,0.00,-1.57,-1.00,-2.00,-3.10
75.10,0.00,1.00,-1.00,-2.00,3.03
75.20,0.00,1.00,-1.00,-2.00,3.13
75.30,0.00,-1.57,-1.00,-2.00,-3.06
75.40,0.00,1.00,-1.00,-2.00,3.07
75.50,0.00,-1.57,-1.00,-2.00,-3.11
75.60,0.00,1.00,-1.00,-2.00,3.01
75.70,0.00,1.00,-1.00,-2.00,3.11
75.80,0.00,-1.57,-1.00,-2.00,-3.07
75.90,0.00,1.00,-1.00,-2.00,3.05
76.00,0.00,-1.57,-1.00,-2.00,-3.13
76.10,0.00,1.00,-1.00,-2.00,3.00
76.20,0.00,1.00,-1.00,-2.00,3.10
76.30,0.00,-1.57,-1.00,-2.00,-3.09
76.40,0.00,1.00,-1.00,-2.00,3.04
76.50,0.00,1.00,-1.00,-2.00,3.14
76.60,0.00,-1.57,-1.00,-2.00,-3.04
76.70,0.00,1.00,-1.00,-2.00,3.08
76.80,0.00,-1.57,-1.00,-2.00,-3.10
76.90,0.00,1.00,-1.00,-2.00,3.03
77.00,0.00,1.00,-1.00,-2.00,3.13
77.10,0.00,-1.57,-1.00,-2.00,-3.06
77.20,0.00,1.00,-1.00,-2.00,3.07
77.30,0.00,-1.57,-1.00,-2.00,-3.11
77.40,0.00,1.00,-1.00,-2.00,3.01
77.50,0.00,1.00,-1.00,-2.00,3.11
77.60,0.00,-1.57,-1.00,-2.00,-3.07
77.70,0.00,1.00,-1.00,-2.00,3.05
77.80,0.00,-1.57,-1.00,-2.00,-3.13
77.90,0.00,1.00,-1.00,-2.00,3.00
78.00,0.00,1.00,-1.00,-2.00,3.10
78.10,0.00,-1.57,-1.00,-2.00,-3.09
78.20,0.00,1.00,-1.00,-2.00,3.04
78.30,0.00,1.00,-1.00,-2.00,3.14
78.40,0.00,-1.57,-1.00,-2.00,-3.04
78.50,0.00,1.00,-1.00,-2.00,3.08
78.60,0.00,-1.57,-1.00,-2.00,-3.10
78.70,0.00,1.00,-1.00,-2.00,3.03
78.80,0.00,1.00,-1.00,-2.00,3.13
78.90,0.00,-1.57,-1.00,-2.00,-3.06
79.00,0.00,1.00,-1.00,-2.00,3.07
79.10,0.00,-1.57,-1.00,-2.00,-3.11
79.20,0.00,1.00,-1.00,-2.00,3.01
79.30,0.00,1.00,-1.00,-2.00,3.11
79.40,0.00,-1.57,-1.00,-2.00,-3.07
79.50,0.00,1.00,-1.00,-2.00,3.06
79.60,0.00,-1.57,-1.00,-2.00,-3.13
79.70,0.00,1.00,-1.00,-2.00,3.00
79.80,0.00,1.00,-1.00,-2.00,3.10
79.90,0.00,-1.57,-1.00,-2.00,-3.08
80.00,0.00,1.00,-1.00,-2.00,3.04
80.10,0.00,1.00,-1.00,-2.00,3.14
80.20,0.00,-1.57,-1.00,-2.00,-3.04
80.30,0.00,1.00,-1.00,-2.00,3.08
80.40,0.00,-1.57,-1.00,-2.00,-3.10
80.50,0.00,1.00,-1.00,-2.00,3.03
80.60,0.00,1.00,-1.00,-2.00,3.13
80.70,0.00,-1.57,-1.00,-2.00,-3.06
80.80,0.00,1.00,-1.00,-2.00,3.07
80.90,0.00,-1.57,-1.00,-2.00,-3.11
81.00,0.00,1.00,-1.00,-2.00,3.01
81.10,0.00,1.00,-1.00,-2.00,3.11
81.20,0.00,-1.57,-1.00,-2.00,-3.07
81.30,0.00,1.00,-1.00,-2.00,3.06
81.40,0.00,-1.57,-1.00,-2.00,-3.13
81.50,0.00,1.00,-1.00,-2.00,3.00
81.60,0.00,1.00,-1.00,-2.00,3.10
81.70,0.00,-1.57,-1.00,-2.00,-3.08
81.80,0.00,1.00,-1.00,-2.00,3.04
81.90,0.00,-1.57,-1.00,-2.00,-3.14
82.00,0.00,1.00,-1.00,-2.00,2.98
82.10,0.00,1.00,-1.00,-2.00,3.08
82.20,0.00,-1.57,-1.00,-2.00,-3.10
82.30,0.00,1.00,-1.00,-2.00,3.03
82.40,0.00,1.00,-1.00,-2.00,3.13
82.50,0.00,-1.57,-1.00,-2.00,-3.06
82.60,0.00,1.00,-1.00,-2.00,3.07
82.70,0.00,-1.57,-1.00,-2.00,-3.11
82.80,0.00,1.00,-1.00,-2.00,3.01
82.90,0.00,1.00,-1.00,-2.00,3.11
83.00,0.00,-1.57,-1.00,-2.00,-3.07
83.10,0.00,1.00,-1.00,-2.00,3.06
83.20,0.00,-1.57,-1.00,-2.00,-3.13
83.30,0.00,1.00,-1.00,-2.00,3.00
83.40,0.00,1.00,-1.00,-2.00,3.10
83.50,0.00,-1.57,-1.00,-2.00,-3.08
83.60,0.00,1.00,-1.00,-2.00,3.04
83.70,0.00,-1.57,-1.00,-2.00,-3.14
83.80,0.00,1.00,-1.00,-2.00,2.99
83.90,0.00,1.00,-1.00,-2.00,3.09
84.00,0.00,-1.57,-1.00,-2.00,-3.10
84.10,0.00,1.00,-1.00,-2.00,3.03
84.20,0.00,1.00,-1.00,-2.00,3.13
84.30,0.00,-1.57,-1.00,-2.00,-3.06
84.40,0.00,1.00,-1.00,-2.00,3.07
84.50,0.00,-1.57,-1.00,-2.00,-3.11
84.60,0.00,1.00,-1.00,-2.00,3.01
84.70,0.00,1.00,-1.00,-2.00,3.11
84.80,0.00,-1.57,-1.00,-2.00,-3.07
84.90,0.00,1.00,-1.00,-2.00,3.06
85.00,0.00,-1.57,-1.00,-2.00,-3.13
85.10,0.00,1.00,-1.00,-2.00,3.00
85.20,0.00,1.00,-1.00,-2.00,3.10
85.30,0.00,-1.57,-1.00,-2.00,-3.08
85.40,0.00,1.00,-1.00,-2.00,3.04
85.50,0.00,-1.57,-1.00,-2.00,-3.14
85.60,0.00,1.00,-1.00,-2.00,2.99
85.70,0.00,1.00,-1.00,-2.00,3.09
85.80,0.00,-1.57,-1.00,-2.00,-3.10
85.90,0.00,1.00,-1.00,-2.00,3.03
86.00,0.00,1.00,-1.00,-2.00,3.13
86.10,0.00,-1.57,-1.00,-2.00,-3.05
86.20,0.00,1.00,-1.00,-2.00,3.07
86.30,0.00,-1.57,-1.00,-2.00,-3.11
86.40,0.00,1.00,-1.00,-2.00,3.01
86.50,0.00,1.00,-1.00,-2.00,3.11
86.60,0.00,-1.57,-1.00,-2.00,-3.07
86.70,0.00,1.00,-1.00,-2.00,3.06
86.80,0.00,-1.57,-1.00,-2.00,-3.13
86.90,0.00,1.00,-1.00,-2.00,3.00
87.00,0.00,1.00,-1.00,-2.00,3.10
87.10,0.00,-1.57,-1.00,-2.00,-3.08
87.20,0.00,1.00,-1.00,-2.00,3.04
87.30,0.00,-1.57,-1.00,-2.00,-3.14
87.40,0.00,1.00,-1.00,-2.00,2.99
87.50,0.00,1.00,-1.00,-2.00,3.09
87.60,0.00,-1.57,-1.00,-2.00,-3.10
87.70,0.00,1.00,-1.00,-2.00,3.03
87.80,0.00,1.00,-1.00,-2.00,3.13
87.90,0.00,-1.57,-1.00,-2.00,-3.05
88.00,0.00,1.00,-1.00,-2.00,3.07
88.10,0.00,-1.57,-1.00,-2.00,-3.11
88.20,0.00,1.00,-1.00,-2.00,3.01
88.30,0.00,1.00,-1.00,-2.00,3.11
88.40,0.00,-1.57,-1.00,-2.00,-3.07
88.50,0.00,1.00,-1.00,-2.00,3.06
88.60,0.00,-1.57,-1.00,-2.00,-3.13
88.70,0.00,1.00,-1.00,-2.00,3.00
88.80,0.00,1.00,-1.00,-2.00,3.10
88.90,0.00,-1.57,-1.00,-2.00,-3.08
89.00,0.00,1.00,-1.00,-2.00,3.04
89.10,0.00,-1.57,-1.00,-2.00,-3.14
89.20,0.00,1.00,-1.00,-2.00,2.99
89.30,0.00,1.00,-1.00,-2.00,3.09
89.40,0.00,-1.57,-1.00,-2.00,-3.10
89.50,0.00,1.00,-1.00,-2.00,3.03
89.60,0.00,1.00,-1.00,-2.00,3.13
89.70,0.00,-1.57,-1.00,-2.00,-3.05
89.80,0.00,1.00,-1.00,-2.00,3.07
89.90,0.00,-1.57,-1.00,-2.00,-3.11
90.00,0.00,1.00,-1.00,-2.00,3.02
90.10,0.00,1.00,-1.00,-2.00,3.12
90.20,0.00,-1.57,-1.00,-2.00,-3.07
90.30,0.00,1.00,-1.00,-2.00,3.06
90.40,0.00,-1.57,-1.00,-2.00,-3.13
90.50,0.00,1.00,-1.00,-2.00,3.00
90.60,0.00,1.00,-1.00,-2.00,3.10
90.70,0.00,-1.57,-1.00,-2.00,-3.08
90.80,0.00,1.00,-1.00,-2.00,3.04
90.90,0.00,-1.57,-1.00,-2.00,-3.14
91.00,0.00,1.00,-1.00,-2.00,2.99
91.10,0.00,1.00,-1.00,-2.00,3.09
91.20,0.00,-1.57,-1.00,-2.00,-3.10
91.30,0.00,1.00,-1.00,-2.00,3.03
91.40,0.00,1.00,-1.00,-2.00,3.13
91.50,0.00,-1.57,-1.00,-2.00,-3.05
91.60,0.00,1.00,-1.00,-2.00,3.07
91.70,0.00,-1.57,-1.00,-2.00,-3.11
91.80,0.00,1.00,-1.00,-2.00,3.02
91.90,0.00,1.00,-1.00,-2.00,3.12
92.00,0.00,-1.57,-1.00,-2.00,-3.07
92.10,0.00,1.00,-1.00,-2.00,3.06
92.20,0.00,-1.57,-1.00,-2.00,-3.12
92.30,0.00,1.00,-1.00,-2.00,3.00
92.40,0.00,1.00,-1.00,-2.00,3.10
92.50,0.00,-1.57,-1.00,-2.00,-3.08
92.60,0.00,1.00,-1.00,-2.00,3.04
92.70,0.00,-1.57,-1.00,-2.00,-3.14
92.80,0.00,1.00,-1.00,-2.00,2.99
92.90,0.00,1.00,-1.00,-2.00,3.09
93.00,0.00,-1.57,-1.00,-2.00,-3.10
93.10,0.00,1.00,-1.00,-2.00,3.03
93.20,0.00,1.00,-1.00,-2.00,3.13
93.30,0.00,-1.57,-1.00,-2.00,-3.05
93.40,0.00,1.00,-1.00,-2.00,3.07
93.50,0.00,-1.57,-1.00,-2.00,-3.11
93.60,0.00,1.00,-1.00,-2.00,3.02
93.70,0.00,1.00,-1.00,-2.00,3.12
93.80,0.00,-1.57,-1.00,-2.00,-3.07
93.90,0.00,1.00,-1.00,-2.00,3.06
94.00,0.00,-1.57,-1.00,-2.00,-3.12
94.10,0.00,1.00,-1.00,-2.00,3.00
94.20,0.00,1.00,-1.00,-2.00,3.10
94.30,0.00,-1.57,-1.00,-2.00,-3.08
94.40,0.00,1.00,-1.00,-2.00,3.04
94.50,0.00,-1.57,-1.00,-2.00,-3.14
94.60,0.00,1.00,-1.00,-2.00,2.99
94.70,0.00,1.00,-1.00,-2.00,3.09
94.80,0.00,-1.57,-1.00,-2.00,-3.10
94.90,0.00,1.00,-1.00,-2.00,3.03
95.00,0.00,1.00,-1.00,-2.00,3.13
95.10,0.00,-1.57,-1.00,-2.00,-3.05
95.20,0.00,1.00,-1.00,-2.00,3.07
95.30,0.00,-1.57,-1.00,-2.00,-3.11
95.40,0.00,1.00,-1.00,-2.00,3.02
95.50,0.00,1.00,-1.00,-2.00,3.12
95.60,0.00,-1.57,-1.00,-2.00,-3.07
95.70,0.00,1.00,-1.00,-2.00,3.06
95.80,0.00,-1.57,-1.00,-2.00,-3.12
95.90,0.00,1.00,-1.00,-2.00,3.00
96.00,0.00,1.00,-1.00,-2.00,3.10
96.10,0.00,-1.57,-1.00,-2.00,-3.08
96.20,0.00,1.00,-1.00,-2.00,3.05
96.30,0.00,-1.57,-1.00,-2.00,-3.14
96.40,0.00,1.00,-1.00,-2.00,2.99
96.50,0.00,1.00,-1.00,-2.00,3.09
96.60,0.00,-1.57,-1.00,-2.00,-3.10
96.70,0.00,1.00,-1.00,-2.00,3.03
96.80,0.00,1.00,-1.00,-2.00,3.13
96.90,0.00,-1.57,-1.00,-2.00,-3.05
97.00,0.00,1.00,-1.00,-2.00,3.07
97.10,0.00,-1.57,-1.00,-2.00,-3.11
97.20,0.00,1.00,-1.00,-2.00,3.02
97.30,0.00,1.00,-1.00,-2.00,3.12
97.40,0.00,-1.57,-1.00,-2.00,-3.07
97.50,0.00,1.00,-1.00,-2.00,3.06
97.60,0.00,-1.57,-1.00,-2.00,-3.12
97.70,0.00,1.00,-1.00,-2.00,3.00
97.80,0.00,1.00,-1.00,-2.00,3.10
97.90,0.00,-1.57,-1.00,-2.00,-3.08
98.00,0.00,1.00,-1.00,-2.00,3.05
98.10,0.00,-1.57,-1.00,-2.00,-3.14
98.20,0.00,1.00,-1.00,-2.00,2.99
98.30,0.00,1.00,-1.00,-2.00,3.09
98.40,0.00,-1.57,-1.00,-2.00,-3.09
98.50,0.00,1.00,-1.00,-2.00,3.03
98.60,0.00,1.00,-1.00,-2.00,3.13
98.70,0.00,-1.57,-1.00,-2.00,-3.05
98.80,0.00,1.00,-1.00,-2.00,3.07
98.90,0.00,-1.57,-1.00,-2.00,-3.11
99.00,0.00,1.00,-1.00,-2.00,3.02
99.10,0.00,1.00,-1.00,-2.00,3.12
99.20,0.00,-1.57,-1.00,-2.00,-3.07
99.30,0.00,1.00,-1.00,-2.00,3.06
99.40,0.00,-1.57,-1.00,-2.00,-3.12
99.50,0.00,1.00,-1.00,-2.00,3.00
99.60,0.00,1.00,-1.00,-2.00,3.10
99.70,0.00,-1.57,-1.00,-2.00,-3.08
99.80,0.00,1.00,-1.00,-2.00,3.05
99.90,0.00,-1.57,-1.00,-2.00,-3.14
100.00,0.00,1.00,-1.00,-2.00,2.99
100.10,0.00,1.00,-1.00,-2.00,3.09
100.20,0.00,-1.57,-1.00,-2.00,-3.09
100.30,0.00,1.00,-1.00,-2.00,3.03
100.40,0.00,1.00,-1.00,-2.00,3.13
100.50,0.00,-1.57,-1.00,-2.00,-3.05
100.60,0.00,1.00,-1.00,-2.00,3.07
100.70,0.00,-1.57,-1.00,-2.00,-3.11
100.80,0.00,1.00,-1.00,-2.00,3.02
100.90,0.00,1.00,-1.00,-2.00,3.12
101.00,0.00,-1.57,-1.00,-2.00,-3.07
101.10,0.00,1.00,-1.00,-2.00,3.06
101.20,0.00,-1.57,-1.00,-2.00,-3.12
101.30,0.00,1.00,-1.00,-2.00,3.00
101.40,0.00,1.00,-1.00,-2.00,3.10
101.50,0.00,-1.57,-1.00,-2.00,-3.08
101.60,0.00,1.00,-1.00,-2.00,3.05
101.70,0.00,-1.57,-1.00,-2.00,-3.14
101.80,0.00,1.00,-1.00,-2.00,2.99
101.90,0.00,1.00,-1.00,-2.00,3.09
102.00,0.00,-1.57,-1.00,-2.00,-3.09
102.10,0.00,1.00,-1.00,-2.00,3.03
102.20,0.00,1.00,-1.00,-2.00,3.13
102.30,0.00,-1.57,-1.00,-2.00,-3.05
102.40,0.00,1.00,-1.00,-2.00,3.08
102.50,0.00,-1.57,-1.00,-2.00,-3.11
102.60,0.00,1.00,-1.00,-2.00,3.02
102.70,0.00,1.00,-1.00,-2.00,3.12
102.80,0.00,-1.57,-1.00,-2.00,-3.06
102.90,0.00,1.00,-1.00,-2.00,3.06
103.00,0.00,-1.57,-1.00,-2.00,-3.12
103.10,0.00,1.00,-1.00,-2.00,3.00
103.20,0.00,1.00,-1.00,-2.00,3.10
103.30,0.00,-1.57,-1.00,-2.00,-3.08
103.40,0.00,1.00,-1.00,-2.00,3.05
103.50,0.00,-1.57,-1.00,-2.00,-3.14
103.60,0.00,1.00,-1.00,-2.00,2.99
103.70,0.00,1.00,-1.00,-2.00,3.09
103.80,0.00,-1.57,-1.00,-2.00,-3.09
103.90,0.00,1.00,-1.00,-2.00,3.03
104.00,0.00,1.00,-1.00,-2.00,3.13
104.10,0.00,-1.57,-1.00,-2.00,-3.05
104.20,0.00,1.00,-1.00,-2.00,3.08
104.30,0.00,-1.57,-1.00,-2.00,-3.11
104.40,0.00,1.00,-1.00,-2.00,3.02
104.50,0.00,1.00,-1.00,-2.00,3.12
104.60,0.00,-1.57,-1.00,-2.00,-3.06
104.70,0.00,1.00,-1.00,-2.00,3.06
