time[s],v[m/s],w[rad/s],wp_x,wp_y,theta_wp[rad]
12.30,2.00,1.00,-23.17,14.17,-0.08
12.40,2.00,-1.57,-23.33,14.33,-0.19
12.50,2.00,1.00,-23.50,14.50,-0.05
12.60,2.00,-1.57,-23.66,14.66,-0.17
12.70,2.00,1.00,-23.82,14.82,-0.03
12.80,2.00,-1.57,-23.97,14.97,-0.14
12.90,2.00,1.00,-24.18,15.00,0.22
13.00,2.00,-0.96,-24.38,15.00,0.13
13.10,2.00,1.00,-24.59,15.00,0.24
13.20,2.00,-0.10,-24.80,15.00,0.15
13.30,2.00,-1.57,-25.00,15.02,-0.22
13.40,2.00,1.00,-25.00,15.65,-0.15
13.50,2.00,1.00,-25.06,16.00,0.10
13.60,2.00,0.42,-25.28,16.00,0.01
13.70,2.00,1.00,-25.50,16.00,-0.02
13.80,2.00,-1.46,-25.72,16.00,-0.11
13.90,2.00,1.00,-25.93,16.00,0.04
14.00,2.00,-1.57,-26.10,16.10,-0.26
14.10,2.00,1.00,-26.25,16.25,-0.12
14.20,2.00,-1.57,-26.40,16.40,-0.23
14.30,2.00,1.00,-26.55,16.55,-0.09
14.40,2.00,-1.57,-26.70,16.70,-0.20
14.50,2.00,1.00,-26.85,16.85,-0.06
14.60,2.00,-1.57,-27.00,17.00,-0.17
14.70,2.00,1.00,-27.22,17.00,0.20
14.80,2.00,-1.14,-27.44,17.00,0.12
14.90,2.00,1.00,-27.66,17.00,0.24
15.00,2.00,-0.20,-27.88,17.00,0.16
15.10,2.00,-1.57,-28.00,17.22,-0.23
15.20,2.00,1.00,-28.00,17.65,-0.13
15.30,2.00,1.00,-28.02,18.00,0.12
15.40,2.00,0.70,-28.26,18.00,0.04
15.50,2.00,0.71,-28.49,18.00,-0.01
15.60,2.00,-0.24,-28.72,18.00,-0.07
15.70,2.00,1.00,-28.94,18.00,-0.04
15.80,0.00,-1.57,-29.00,18.29,-0.57
15.90,1.00,1.00,-29.00,18.29,-0.41
16.00,0.00,-1.57,-29.00,18.48,-0.54
16.10,1.00,1.00,-29.00,18.48,-0.38
16.20,0.00,-1.57,-29.00,18.65,-0.51
16.30,1.00,1.00,-29.00,18.65,-0.35
16.40,2.00,-1.57,-29.00,18.82,-0.47
16.50,2.00,1.00,-29.11,19.00,0.06
16.60,2.00,-1.57,-29.36,19.00,-0.02
16.70,2.00,1.00,-29.60,19.00,0.15
16.80,2.00,-1.57,-29.85,19.00,0.07
16.90,2.00,1.00,-30.05,19.05,0.04
17.00,2.00,-1.57,-30.19,19.19,-0.06
17.10,2.00,1.00,-30.34,19.34,0.09
17.20,2.00,-1.57,-30.48,19.48,-0.01
17.30,2.00,1.00,-30.63,19.63,0.14
17.40,2.00,-1.57,-30.77,19.77,0.04
17.50,2.00,1.00,-30.91,19.91,0.20
